condition,id_fake_pct,method,id_acc,auroc_ood,fpr95_ood
id00,0,energy,,0.9931792592592592,0.012222222222222223
id00,0,mahalanobis,,0.9888625925925926,0.015555555555555555
id00,0,msp,,0.9697842592592593,0.03111111111111111
id01,1,energy,,0.9925474074074074,0.011111111111111112
id01,1,mahalanobis,,0.9887733333333333,0.015555555555555555
id01,1,msp,,0.9713455555555556,0.03111111111111111
id10,10,energy,,0.9927014814814815,0.014444444444444444
id10,10,mahalanobis,,0.9886681481481482,0.016666666666666666
id10,10,msp,,0.972197962962963,0.016666666666666666
id25,25,energy,,0.9920155555555555,0.01
id25,25,mahalanobis,,0.9878685185185185,0.016666666666666666
id25,25,msp,,0.97329,0.03111111111111111
