condition,id_fake_pct,ood_fake_pct,method,auroc_ood,fpr95_ood,auroc_fake,fpr95_fake,auroc_fake_whoops,fpr95_fake_whoops,auroc_fake_gen,fpr95_fake_gen
id00_ood00,0,0,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood00,0,0,energy,0.9270646296296297,0.41555555555555557,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id00_ood00,0,0,mahalanobis,0.9888625925925926,0.015555555555555555,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id00_ood01,0,1,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood01,0,1,energy,0.9251383333333333,0.43,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id00_ood01,0,1,mahalanobis,0.9888381481481482,0.015555555555555555,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id00_ood10,0,10,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood10,0,10,energy,0.9075616666666667,0.5288888888888889,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id00_ood10,0,10,mahalanobis,0.9881166666666666,0.02,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id00_ood25,0,25,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood25,0,25,energy,0.8834994444444444,0.5855555555555556,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id00_ood25,0,25,mahalanobis,0.9887925925925926,0.021111111111111112,0.98808,0.05333333333333334,0.9905572040883613,0.051111111111111114,0.9829584185412407,0.11555555555555555
id01_ood00,1,0,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id01_ood00,1,0,energy,0.9270646296296297,0.41555555555555557,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id01_ood00,1,0,mahalanobis,0.9887733333333333,0.015555555555555555,0.9877,0.06222222222222222,0.9903956478733926,0.052222222222222225,0.9821267893660531,0.11888888888888889
id01_ood01,1,1,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id01_ood01,1,1,energy,0.9252951851851852,0.43,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id01_ood01,1,1,mahalanobis,0.9888296296296296,0.014444444444444444,0.9879155555555555,0.05444444444444444,0.9904088361358391,0.05333333333333334,0.982760736196319,0.11444444444444445
id10_ood00,10,0,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id10_ood00,10,0,energy,0.9270646296296297,0.41555555555555557,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id10_ood00,10,0,mahalanobis,0.9886681481481482,0.016666666666666666,0.9865911111111111,0.07111111111111111,0.9897626112759644,0.04888888888888889,0.9800340831629175,0.1111111111111111
id10_ood10,10,10,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id10_ood10,10,10,energy,0.9087742592592593,0.5122222222222222,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id10_ood10,10,10,mahalanobis,0.9883562962962963,0.02,0.98644,0.07333333333333333,0.9896834817012858,0.05555555555555555,0.9797341513292434,0.1111111111111111
id25_ood00,25,0,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id25_ood00,25,0,energy,0.9270646296296297,0.41555555555555557,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id25_ood00,25,0,mahalanobis,0.9878685185185185,0.016666666666666666,0.9851533333333333,0.07333333333333333,0.9889086712825585,0.058888888888888886,0.9773892297205181,0.11777777777777777
id25_ood25,25,25,msp,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
id25_ood25,25,25,energy,0.8833225925925926,0.6022222222222222,0.7570688888888889,0.8155555555555556,0.7843570722057369,0.7566666666666667,0.7006509884117246,0.8322222222222222
id25_ood25,25,25,mahalanobis,0.9884651851851852,0.022222222222222223,0.9857977777777778,0.07777777777777778,0.9890933069568084,0.056666666666666664,0.9789843217450579,0.12
