condition,id_fake_pct,ood_fake_pct,method,auroc_ood,fpr95_ood,auroc_fake,fpr95_fake,auroc_fake_whoops,fpr95_fake_whoops
id00_ood00,0,0,msp,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood00,0,0,energy,0.9327155555555555,0.3466666666666667,0.7930833333333334,0.8133333333333334,0.7930833333333334,0.8133333333333334
id00_ood00,0,0,mahalanobis,0.9902311111111111,0.013333333333333334,0.98765,0.08666666666666667,0.98765,0.08666666666666667
id00_ood01,0,1,msp,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood01,0,1,energy,0.9292355555555556,0.3933333333333333,0.7930833333333334,0.8133333333333334,0.7930833333333334,0.8133333333333334
id00_ood01,0,1,mahalanobis,0.98816,0.02,0.98765,0.08666666666666667,0.98765,0.08666666666666667
id00_ood10,0,10,msp,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood10,0,10,energy,0.9178133333333334,0.44,0.7930833333333334,0.8133333333333334,0.7930833333333334,0.8133333333333334
id00_ood10,0,10,mahalanobis,0.98956,0.02666666666666667,0.98765,0.08666666666666667,0.98765,0.08666666666666667
id00_ood25,0,25,msp,0.5,1.0,0.5,1.0,0.5,1.0
id00_ood25,0,25,energy,0.8947,0.54,0.7930833333333334,0.8133333333333334,0.7930833333333334,0.8133333333333334
id00_ood25,0,25,mahalanobis,0.9902755555555556,0.03333333333333333,0.98765,0.08666666666666667,0.98765,0.08666666666666667
